time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.2078883270442425e-08,-8.778703844942776e-08,10.002736335718806,6.283004106689415,6.28310474674892,0.0,5.646348192111865e-06,-1.1232483860195526e-05,0.09120754653070319,-0.009872675491229398,-0.004173382061323321,0.0,434.50065693648855,434.1507305815702,434.2911337887608,433.46246947870776
0.12000000000000001,3.987868212601709e-06,-7.79531321800573e-06,10.018021529147621,6.282978862606344,6.282581023620663,0.0,0.00017524171853902233,-0.0002812177963171166,0.41823683563240543,0.01381017671917687,-0.019900851701907227,0.0,504.35539756100354,503.218525800535,503.03964459376886,504.7514080868368
0.18,3.069719020957435e-05,-2.5615466218981533e-05,10.046233438045398,0.0007841397101815417,6.2820887693962515,0.0,0.0007946459366105048,-0.00021898036685953512,0.5221177365888741,0.021425329728087437,0.008477750352000608,0.0,437.24003355889397,439.59760144395744,437.92513879026126,438.5579328557783
0.23999999999999996,9.999733015215809e-05,-1.6817493262521836e-05,10.081420415944086,0.001983680102585872,6.28252073841786,0.0,0.0014651863642798264,0.0006443652363041896,0.6507164610642828,0.016960491027849217,0.004511801356360617,0.0,446.7033922327341,446.37980773837666,446.01313475421415,445.6483590823231
0.3,0.00020126770150703384,6.93333894269643e-05,10.124693136856424,0.002925449497571897,6.282887782905899,0.0,0.0018757875821561784,0.0023331476247420973,0.7916198885833953,0.013039490073587859,0.009149506351379694,0.0,449.33390007124837,449.7095605615009,450.9323547784683,450.61544693064957
0.36000000000000004,0.00031760251909357986,0.00026731666401637083,10.173443192026308,0.00357982239059762,2.1205787598788106e-05,0.0,0.0019602259388221315,0.00433364171292972,0.8333519633929215,0.006256265258580451,-0.0037494192228870755,0.0,420.03725447721473,418.91720766305826,418.1349155804146,417.5435271805747
0.4200000000000001,0.00043564569653144073,0.0005909259279082893,10.223190562447172,0.004057832633529657,6.282808039722415,0.0,0.0020007042513200133,0.006490202772981721,0.824899781070272,0.011185551041799031,-0.013163522501408209,0.0,401.8322441544351,400.97813637518806,401.85770104857585,402.30410897473007
0.48000000000000015,0.0005690389592659834,0.0010864025647534998,10.280412221782584,0.004580052866189455,6.281684937477749,0.0,0.0025612931498678014,0.010100242729936927,1.0822806979209416,0.003209668597096541,-0.03315877677598243,0.0,486.3741963850783,484.8745879270778,484.6460051243768,484.04611253517567
0.5400000000000001,0.0007649240136937741,0.0017964116100181705,10.350242719347019,0.004593173532638772,6.279375336318854,0.0,0.004203832132786231,0.013578299189698051,1.245238513250023,-0.006559057695872263,-0.052171644689977606,0.0,457.9470243959915,456.4315721346407,458.4380214014335,457.66124631350357
0.6000000000000002,0.0011244417339219069,0.0027223360871157193,10.431927177638938,0.004045103631379554,6.276789574295396,0.0,0.008120984583983446,0.017228088042995648,1.477304849285201,-0.014859621079643538,-0.02930626268405592,0.0,477.30896131183675,479.0495937933908,479.1207308910793,478.489428584052
0.6600000000000003,0.0017393011932010122,0.003830338308855864,10.52187901807221,0.0037544763206884824,6.274826128006797,0.0,0.012547256410197636,0.019654538911427853,1.5210314337911228,0.010027110755259498,-0.04062604658997024,0.0,421.04041258496653,420.0595042651669,420.1132855927102,422.26549685815826
0.7200000000000003,0.0026875834579196097,0.005095441258522864,10.617672456693697,0.004419548605770984,6.271969205833795,0.0,0.019343537871875326,0.022584183319970724,1.6718717858260541,0.013119683210299249,-0.06769280321530502,0.0,456.4766791674511,454.31027270715657,454.4988335429172,454.74647862877026
0.7800000000000004,0.004127133947624904,0.006557471043877966,10.723626264768841,0.005666465603478166,6.267788293204758,0.0,0.02911150511095568,0.026269454935083612,1.859628870188766,0.032858569980867745,-0.07398806848202827,0.0,466.7086913921751,466.21366285007883,465.9790237658739,467.5193688782202
0.8400000000000004,0.006198723476664296,0.008254512605741025,10.837573480151482,0.00774117172647415,6.263007527154805,0.0,0.040391615599351345,0.030497968840709957,1.9384718150285747,0.03781290521473855,-0.09459077104345047,0.0,434.0846010836696,432.34683905440284,433.7204988316551,434.1369048137764
0.9000000000000005,0.009149615553415131,0.010287680990642893,10.961114668856277,0.01015595998230534,6.258004285174291,0.0,0.058610363110868556,0.037558726514581094,2.179123727687378,0.04471537551896666,-0.06723075507230855,0.0,481.95016118785,484.0081177829876,482.7981150929337,483.31927516146243
0.9600000000000005,0.013194680754081936,0.012759263285621238,11.094576402862735,0.013603013614564397,6.253777500227937,0.0,0.07663495073770903,0.0451413096398392,2.269410089229994,0.07517982911524199,-0.0778058805334815,0.0,439.42988074075663,438.5484949884142,436.76697758046043,439.30242683642786
1.0200000000000005,0.01840941553010788,0.015762131002268125,11.23347730563837,0.01782009521658967,6.249838335912553,0.0,0.09760993619385516,0.05539313074761149,2.3604149281185136,0.05805726017826969,-0.04850904636344677,0.0,438.68504747268344,441.10735656906763,439.1336973634772,437.71487031554045
1.0800000000000005,0.025109797996911418,0.019545423409877673,11.382342870753432,0.020992099650816165,6.247211024007047,0.0,0.12605686901556776,0.07111892058147097,2.6012327876660963,0.0396739492137025,-0.03571424821067631,0.0,484.8016574698032,485.76109303360283,484.98075767837446,483.59960410931996
1.1400000000000006,0.03350833849337371,0.024305635718674844,11.543704047688239,0.02417023925374906,6.244934973734477,0.0,0.15412886124139838,0.08786967099972584,2.7770434177572705,0.07124538608629652,-0.042790100440994926,0.0,467.20558639183434,466.6529603802429,465.4995704314995,467.96508747288135
